# Mapeo de 3.6.8.8 a 3.6.9.9.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
iwv	lkg	estructura			
iwz		duda			
ixa		duda			
ixb		duda			
ixd		duda			
ixe	mbj	estructura			
ixg		duda			
ixj		duda			
ixk		duda			
ixl		duda			
ixp		duda			
ixr		duda			
ixs	jac	estructura			
ixu	jem	estructura			
ixx		duda			
iyb		duda			
iye		duda			
iyh		duda			
iyi	ixx	estructura			
iyj		duda			
iyq	izr	estructura			
iyr	lzj	estructura			
izc		duda			
izf		duda			
izg		duda			
izj		duda			
izk		duda			
izo		duda			
izp		duda			
izq		duda			
izt	jfm	estructura			
izx		duda			
izy		duda			
izz		duda			
jaa		duda			
jab	lqw	estructura			
jac		duda			
jae		duda			
jag		duda			
jah		duda			
jai		duda			
jaj	kuy	estructura			
jam		duda			
jan		duda			
jao		duda			
jap		duda			
jaq		duda			
jat	kvo	estructura			
jau		duda			
jaw		duda			
jax		duda			
jay		duda			
jaz		duda			
jba		duda			
jbb		duda			
jbe		duda			
jbh		duda			
jbk		duda			
jbm		duda			
jbn		duda			
jbo	ivv	estructura			
jbp		duda			
jbr		duda			
jbt		duda			
jbu		duda			
jbx		duda			
jbz	ktu	estructura			
jcb	izz	estructura			
jcc		duda			
jcd		duda			
jce		duda			
jcf		duda			
jcg		duda			
jcj	les	estructura			
jcl		duda			
jcm		duda			
jco		duda			
jcp		duda			
jcr		duda			
jcs		duda			
jcu		duda			
jcv		duda			
jcx		duda			
jdb		duda			
jdd		duda			
jde		duda			
jdf		duda			
jdl		duda			
jdn		duda			
jdp		duda			
jdr		duda			
jds		duda			
jdu		duda			
jdv		duda			
jdx		duda			
jdy		duda			
jec		duda			
jed		duda			
jeg		duda			
jeh		duda			
jei		duda			
jeo		duda			
jep		duda			
jer		duda			
jeu		duda			
jev		duda			
jew		duda			
jex		duda			
jez		duda			
jfa		duda			
jfb		duda			
jfc		duda			
jfe		duda			
jff		duda			
jfg	jgc	estructura			
jfh	jfz	estructura			
jfi	jgb	estructura			
jfk		duda			
jfn	hlv	estructura			
jfp		duda			
jfq		duda			
jfs		duda			
jfw		duda			
jfx		duda			
jfz		duda			
jga		duda			
jgc		duda			
jgd		duda			
jge		duda			
jgh		duda			
jgi	jax	estructura			
jgk		duda			
jgl		duda			
jgp		duda			
jgq	jie	estructura			
jgs		duda			
jgt		duda			
jgv		duda			
jgx		duda			
jgz		duda			
jha		duda			
jhd		duda			
jhe		duda			
jhf		duda			
jhg		duda			
jhh		duda			
jhi		duda			
jhj		duda			
jhl	ldo	estructura			
jhn	ldq	estructura			
jho	klx	estructura			
jhq		duda			
jht		duda			
jhx		duda			
jhy		duda			
jib		duda			
jif		duda			
jig		duda			
jii		duda			
jij		duda			
jik		duda			
jio	jan	estructura			
jis		duda			
jit		duda			
jiu		duda			
jiw		duda			
jiz		duda			
jja		duda			
jjd		duda			
jje		duda			
jji		duda			
jjj	jku	estructura			
jjk		duda			
jjn		duda			
jjq		duda			
jjt		duda			
jjw		duda			
jjz		duda			
jke		duda			
jkg		duda			
jki		duda			
jkj		duda			
jkl		duda			
jkr		duda			
jkt		duda			
jku		duda			
jkv		duda			
jkw		duda			
jkx		duda			
jky		duda			
jkz		duda			
jld		duda			
jlf		duda			
jlg	loi	estructura			
jli		duda			
jlm		duda			
jln	jmf	estructura			
jlp		duda			
jls		duda			
jlt		duda			
jlv		duda			
jlx		duda			
jly		duda			
jlz		duda			
jma		duda			
jme		duda			
jmi		duda			
jmk	jmi	estructura			
jmp		duda			
jmq		duda			
jms		duda			
jmt		duda			
jmu		duda			
jmv		duda			
jmw		duda			
jmx		duda			
jmy		duda			
jmz		duda			
jne		duda			
jng		duda			
jni	hoc	estructura			
jnj		duda			
jnk		duda			
jnm		duda			
jnq		duda			
jnt		duda			
jnu		duda			
jny		duda			
jnz		duda			
jod		duda			
joe		duda			
jof		duda			
jog		duda			
joh		duda			
jol		duda			
jop		duda			
jot	jnt	estructura			
jou		duda			
jox	hwa	estructura			
joy		duda			
joz		duda			
jpc		duda			
jpd	hja	estructura			
jpf		duda			
jph		duda			
jpm		duda			
jpo		duda			
jpp		duda			
jpr		duda			
jps		duda			
jpt		duda			
jpw		duda			
jpx	lla	estructura			
jqa		duda			
jqd		duda			
jqe		duda			
jqf		duda			
jqj		duda			
jqm	jrr	estructura			
jqp	imu	estructura			
jqq		duda			
jqr		duda			
jqs		duda			
jqt		duda			
jqv		duda			
jqw		duda			
jqx	lmr	estructura			
jqz	mbv	estructura			
jra		duda			
jrc		duda			
jrf	klk	estructura			
jri		duda			
jrm		duda			
jrn		duda			
jrq		duda			
jrt	lkv	estructura			
jry	jsd	estructura			
jrz	lrm	estructura			
jsa	jtd	estructura			
jsd	jte	estructura			
jsf		duda			
jsh		duda			
jsi		duda			
jsj		duda			
jsm		duda			
jso	isr	estructura			
jsp		duda			
jss	lqs	estructura			
jsv		duda			
jtb		duda			
jtc		duda			
jtd		duda			
jte		duda			
jti		duda			
jtj		duda			
jtn		duda			
jto		duda			
jtr	hju	estructura			
jts	hiy	estructura			
jtt		duda			
jtw		duda			
jtx		duda			
jub		duda			
juf		duda			
jug		duda			
juj	lnv	estructura			
juk	kmn	estructura			
jul		duda			
jum		duda			
jun		duda			
juo		duda			
jur		duda			
juw		duda			
jux	hhu	estructura			
juy	jta	estructura			
jvb		duda			
jvc		duda			
jvd		duda			
jvg		duda			
jvh		duda			
jvi		duda			
jvj		duda			
jvk		duda			
jvr		duda			
jvs		duda			
jvv		duda			
jvw		duda			
jwc	jzh	estructura			
jwd	jzk	estructura			
jwh		duda			
jwk		duda			
jwl		duda			
jwn		duda			
jwp		duda			
jwq		duda			
jwt		duda			
jwu	lkt	estructura			
jww		duda			
jwx		duda			
jxc		duda			
jxd		duda			
jxf		duda			
jxl		duda			
jxm		duda			
jxn		duda			
jxv		duda			
jxy		duda			
jyb		duda			
jyc		duda			
jyh		duda			
jyl	leb	estructura			
jym		duda			
jyn		duda			
jyq		duda			
jyt	kqo	estructura			
jyv		duda			
jza		duda			
jzc		duda			
jzd		duda			
jze	jvp	estructura			
