# Mapeo de Ankama.Dofus.Protocol.Game a 3.6.10.10.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
ite		duda			
itf		duda			
ith		duda			sí
iti		duda			
itj		duda			
itl		duda			
itm		duda			
itq		duda			
itr		duda			sí
itt		duda			
itu		duda			
itx		duda			
ity		duda			sí
iud		duda			
iuf		duda			
iug		duda			
iuh		duda			
iuj		duda			sí
iuk		duda			sí
iul		duda			
iuo		duda			
iut		duda			
iuu		duda			
iuv		duda			
iuy		duda			
ivb		duda			
ivc		duda			
ivd	iwq	estructura			
ivf		duda			sí
ivo	hsn	estructura			
ivr		duda			
ivs		duda			
ivt		duda			
ivw		duda			
ivz		duda			
iwc		duda			
iwd		duda			
iwe		duda			
iwf	juz	estructura			
iwp	hhu	estructura			
iwq	hzw	estructura			
iws		duda			
iwt		duda			
iwv	lco	estructura			
iww		duda			
iwx		duda			
ixa		duda			
ixc		duda			
ixd		duda			
ixf	lmo	estructura			
ixi		duda			
ixm		duda			
ixt		duda			
ixu		duda			
ixv		duda			
ixw	ixd	estructura			
ixy		duda			
iyb		duda			
iyd	jbu	estructura			
iye		duda			
iyf		duda			
iyg		duda			
iyh		duda			
iyj		duda			
iyk		duda			
iyl		duda			
iyp	jat	estructura			
iys		duda			
iyv		duda			
iyy		duda			
iyz		duda			
iza	kih	estructura			
izc		duda			
izd	jbg	estructura			
izg		duda			
izh		duda			sí
izi		duda			
izk	mae	estructura			
izl		duda			
izo	jar	estructura			
izp		duda			
izq		duda			
izr		duda			
izs		duda			
izu		duda			sí
izx		duda			
izy		duda			
izz		duda			
jab		duda			
jae		duda			
jaj		duda			
jal		duda			
jao		duda			
jar		duda			
jau		duda			
jav		duda			sí
jaw		duda			sí
jay		duda			
jba		duda			sí
jbc		duda			
jbd		duda			
jbe		duda			
jbg		duda			sí
jbl		duda			sí
jbo		duda			
jbp		duda			
jbr		duda			
jbt		duda			
jbu		duda			sí
jbw		duda			
jbx		duda			
jca		duda			
jcb		duda			
jce	jet	estructura			
jcg		duda			
jch		duda			
jcj		duda			
jcm		duda			
jco		duda			
jcp		duda			
jct		duda			sí
jcv		duda			
jcw		duda			
jcx		duda			
jdf		duda			
jdh		duda			
jdi		duda			
jdj		duda			sí
jdk		duda			
jdl		duda			
jdm		duda			
jdo		duda			
jdp		duda			
jdq		duda			
jdr		duda			
jdt	jfz	estructura			
jdu		duda			
jdv		duda			
jdw	jgb	estructura			
jdx	jgc	estructura			
jea	jgi	estructura			
jeb	jgj	estructura			
jed	jgl	estructura			
jee	jgn	estructura			
jeg	jgg	estructura			
jej		duda			
jel		duda			
jem		duda			
jep	jgs	estructura			
jer	jgz	estructura			
jes		duda			
jet		duda			
jex	ket	estructura			
jfa		duda			
jfb		duda			
jfc		duda			sí
jfd		duda			
jfk	kns	estructura			
jfl	mcn	estructura			
jfm		duda			
jfo		duda			
jfp		duda			
jfq		duda			
jfr		duda			
jfs		duda			
jft		duda			
jfu		duda			
jfw		duda			
jfz	ilb	estructura			
jgc	lsz	estructura			
jgd		duda			
jge		duda			
jgg		duda			
jgi	hzg	estructura			
jgj		duda			
jgk	isu	estructura			
jgo		duda			
jgp		duda			
jgq		duda			
jgv		duda			sí
jgw		duda			
jhb		duda			
jhg		duda			
jhk		duda			sí
jhl		duda			
jho		duda			
jhq		duda			
jhs		duda			
jhw		duda			
jia		duda			
jid		duda			
jii		duda			
jij		duda			
jin		duda			
jiq		duda			
jit		duda			
jiv		duda			
jiw		duda			
jix		duda			
jiz		duda			
jjb		duda			
jjc		duda			
jje		duda			
jji		duda			
jjj		duda			
jjk		duda			
jjl		duda			
jjm		duda			
jjp		duda			
jjq	jve	estructura			
jjs		duda			sí
jjt		duda			
jjv		duda			
jjw		duda			
jjx		duda			
jjz		duda			
jkb	jlw	estructura			
jkc		duda			
jkd		duda			
jkh		duda			
jki		duda			
jkj		duda			
jkk	jro	estructura			
jkn		duda			
jkr		duda			
jku		duda			
jkv		duda			
jkw		duda			
jkx		duda			
jky		duda			
jlb		duda			
jlc		duda			
jld		duda			
jlf		duda			
jli		duda			
jlj	jnt	estructura			
jln		duda			
jlo		duda			
jlq	jko	estructura			
jls		duda			
jlt	jfm	estructura			
jlv	jfo	estructura			
jlz		duda			
jmd		duda			
jmf		duda			
jmi		duda			
jmn		duda			
jmq		duda			
jmt		duda			
jmu		duda			
jmz		duda			
jnb		duda			
jnf	ipv	estructura			
jni	jnn	estructura			
jnj		duda			
jnm		duda			
jnr		duda			
jnt		duda			
jnv	kil	estructura			
jnx		duda			
jny		duda			
jnz		duda			
joa		duda			
joe		duda			
jof		duda			
joh		duda			sí
joi	jhb	estructura			sí
joj	jql	estructura			
jol	jqn	estructura			
joo	kcs	estructura			sí
jop		duda			
joq		duda			sí
jor	jrr	estructura			
jos		duda			sí
joz	kqr	estructura			
jpb		duda			
jpc		duda			
jpd		duda			
jpf		duda			sí
jpg		duda			
jpj		duda			
jpp		duda			sí
jps		duda			
jpt		duda			
jpw		duda			
jpz	izz	estructura			
jqb		duda			
jqd	kim	estructura			
jqe		duda			
jqf		duda			sí
jqh		duda			
jqi		duda			sí
jqp		duda			
jqq		duda			
jqt		duda			
jqx		duda			
jqy		duda			
jrb		duda			
jrc		duda			
jrd	jor	estructura			
jrf		duda			sí
jrm		duda			
jrn		duda			
jrp		duda			
jrt		duda			
jru		duda			sí
jsb		duda			
jsd		duda			sí
jsf		duda			
jsg		duda			
jsl	lej	estructura			
jsp		duda			
jsr		duda			
jss		duda			sí
jst		duda			
jtc		duda			
jtd		duda			
jte		duda			sí
jtk	leb	estructura			sí
jtl		duda			
jtm		duda			sí
jtq		duda			
jtt		duda			
jtu		duda			
jtv		duda			
jtz	jio	estructura			
jub		duda			sí
juc	jtv	estructura			sí
jud		duda			sí
jue		duda			
juj		duda			
jul		duda			
jup		duda			
juq		duda			
jur		duda			
jus		duda			
juu		duda			sí
juv	jan	estructura			
juz	jzd	estructura			
jvb	jzh	estructura			
jvc	jzj	estructura			
jvd	jzi	estructura			
jve	jzk	estructura			
jvf	kfw	estructura			
jvg		duda			
jvp		duda			
jvt		duda			
jvu		duda			
jwb		duda			sí
jwc	ioo	estructura			
jwg		duda			
