# Los nombres reales de los mensajes, sacados de global-metadata.dat de 3.6.10.10.
#
# El ofuscador renombra las clases a tres letras pero deja estas cadenas en el fichero, en la
# region fieldAndParameterDefaultValueData. Estan huerfanas: NADIE las referencia (comprobado
# contra las tablas de valores por defecto: 3 coincidencias de 2.687, o sea ruido). Asi que no
# se puede saber por el cliente cual va con cual.
#
# Sirven igual: son la lista CERRADA de nombres validos de esta version. Bautizar un opcode deja
# de ser inventar y pasa a ser elegir de una lista de 513.
#
# nombre_corto\tnombre_completo
FightPhaseInfo	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightPhaseInfo
FightRemovableEffect	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightRemovableEffect
FightResultListEntry	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightResultListEntry
FightTeamLightInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamLightInformation
FightTeamMemberCharacter	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamMemberCharacter
FightTeamMemberEntity	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamMemberEntity
FightTriggerPhaseEffect	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTriggerPhaseEffect
FighterEntityLightInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.FighterEntityLightInformation
GuildInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.GuildInformation
GuildLogbookEntry	Com.Ankama.Dofus.Server.Game.Protocol.Common.GuildLogbookEntry
House	Com.Ankama.Dofus.Server.Game.Protocol.Common.House
InteractiveElement	Com.Ankama.Dofus.Server.Game.Protocol.Common.InteractiveElement
ItemMinimalInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.ItemMinimalInformation
MapExtendedCoordinates	Com.Ankama.Dofus.Server.Game.Protocol.Common.MapExtendedCoordinates
ObjectEffect	Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectEffect
ObjectGidWithQuantity	Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectGidWithQuantity
ObjectInRolePlay	Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectInRolePlay
ObjectUidWithQuantity	Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectUidWithQuantity
PartyEntity	Com.Ankama.Dofus.Server.Game.Protocol.Common.PartyEntity
PlayerSearch	Com.Ankama.Dofus.Server.Game.Protocol.Common.PlayerSearch
PrismCristal	Com.Ankama.Dofus.Server.Game.Protocol.Common.PrismCristal
PrismInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.PrismInformation
RankInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.RankInformation
ShortcutSpell	Com.Ankama.Dofus.Server.Game.Protocol.Common.ShortcutSpell
SocialApplicationInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.SocialApplicationInformation
SocialFightInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.SocialFightInformation
SubEntityInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.SubEntityInformation
TaxCollectorComplementaryInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.TaxCollectorComplementaryInformation
GuildConfiguration	Com.Ankama.Dofus.Server.Game.Protocol.Config.GuildConfiguration
PongEvent	Com.Ankama.Dofus.Server.Game.Protocol.Connection.PongEvent
AcquaintanceInformation	Com.Ankama.Dofus.Server.Game.Protocol.Contact.AcquaintanceInformation
AddContactFailureEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.AddContactFailureEvent
BlockEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.BlockEvent
BlockListRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.BlockListRequest
ContactInformation	Com.Ankama.Dofus.Server.Game.Protocol.Contact.ContactInformation
ContactWarnOnPermanentDeathSetRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.ContactWarnOnPermanentDeathSetRequest
FriendAddRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendAddRequest
FriendInformation	Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendInformation
FriendListEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendListEvent
FriendSetStatusShareRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendSetStatusShareRequest
IgnoreEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.IgnoreEvent
IgnoreRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.IgnoreRequest
UnBlockEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.UnBlockEvent
UnIgnoreEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.UnIgnoreEvent
UnIgnoreRequest	Com.Ankama.Dofus.Server.Game.Protocol.Contact.UnIgnoreRequest
WarnOnPermanentDeathStateEvent	Com.Ankama.Dofus.Server.Game.Protocol.Contact.WarnOnPermanentDeathStateEvent
ContextCreationEvent	Com.Ankama.Dofus.Server.Game.Protocol.Context.ContextCreationEvent
ContextQuitRequest	Com.Ankama.Dofus.Server.Game.Protocol.Context.ContextQuitRequest
ContextRemoveElementEvent	Com.Ankama.Dofus.Server.Game.Protocol.Context.ContextRemoveElementEvent
